학과명,학년,학기,필수,선택
영어학과,3,1,영어영문학개론,"기본영어회화, 영어문법"
영어학과,3,2,영어강독,"대화전략, 영어청취, 영어작문"
영어학과,4,1,연합실무영어,"영어프리젠테이션, 미국역사의 이해"
영어학과,4,2,미국전쟁사연구,"영어토론, 시사영어"
아랍어,3,1,기초아랍어,"중동아문화개론, 기초아랍어회화"
아랍어,3,2,아랍어문법과작문,"아랍어와중동사회, 초급아랍어회화, 아랍어강독"
아랍어,4,1,중동아군사연구,"중급아랍어회화, 시사아랍어"
아랍어,4,2,군사아랍어,"고급아랍어회화, 미디어아랍어"
일본어,3,1,기초일본어,"일본문화개론, 기초일본어회화"
일본어,3,2,일본어문법과작문,"일본어와일본사회, 초급일본어회화, 일본어강독"
일본어,4,1,일본군사연구,"중급일본어회화, 시사일본어"
일본어,4,2,군사일본어,"고급일본어회화, 미디어일본어"
중국어,3,1,기초중국어,"중국문화개론, 기초중국어회화"
중국어,3,2,중국어문법과작문,"중국어와중국사회, 초급중국어회화, 중국어강독"
중국어,4,1,중국군사연구,"중급중국어회화, 시사중국어"
중국어,4,2,군사중국어,"고급중국어회화, 미디어중국어"
프랑스어,3,1,기초프랑스어,"프랑스문화개론, 기초프랑스어회화"
프랑스어,3,2,프랑스어문법과작문,"프랑스어와프랑스사회, 초급프랑스어회화, 프랑스어강독"
프랑스어,4,1,프랑스군사연구,"중급프랑스어회화, 시사프랑스어"
프랑스어,4,2,군사프랑스어,"고급프랑스어회화, 미디어프랑스어"
군사사학,3,1,군사학연구방법론,"동양사의이해, 전쟁론"
군사사학,3,2,한민족전쟁사,"서양사의이해, 동양전략사상사, 제4세대전쟁"
군사사학,4,1,세계전쟁사,"무기발달사, 서양전략사상사"
군사사학,4,2,6·25전쟁사,"군사제도사, 지역분쟁연구"
상담심리학,3,1,심리학개론,"심리측정, 성격심리학"
상담심리학,3,2,상담이론과 실제,"심리연구방법론, 학습심리학, 조직심리학"
상담심리학,4,1,집단상담,"사회심리학, 심리검사"
상담심리학,4,2,군사심리학,"문화심리학, 발달심리학"
경영학,3,1,경영통계론,"경영학원론, 경영전략 및 혁신"
경영학,3,2,경제학원론,"마케팅, 재무 및 회계원리, 인적자원관리"
경영학,4,1,경영과학,"조직행동론, 원가관리회계"
경영학,4,2,경영의사결정론,"생산운영관리, 리더십 진단과 개발"
경제학,3,1,경제학원론,"화폐금융론, 한국경제론 "
경제학,3,2,경영통계,"공공경제론, 계량경제론, 국방획득계약론"
경제학,4,1,미시경제론,"북한경제론, 국방의사경정론"
경제학,4,2,거시경제론,"방위산업론, 게임이론"
북한학,3,1,국제관계론,"한국공산주의운동사, 북한정치론"
북한학,3,2,현대정치이념론,"북한군사론, 통일학입문, 북한사회론"
북한학,4,1,북한사상론,"분단국통일사례연구, 북한외교론"
북한학,4,2,북한정권사,"북한인권론, 통일문제연구"
국제관계학,3,1,국제관계론,"국제기구론, 정치학원론"
국제관계학,3,2,현대정치이념론,"국제분쟁과 협력, 한미동맹론, 국제정치사"
국제관계학,4,1,동북아 안보론,"외교정책론, 국제정치이론"
국제관계학,4,2,국방정책론,"비교정치론, 안보협력론"
행정학,3,1,국방인적자원관리론,"행정학원론, 국방재난관리론"
행정학,3,2,국방조직론,"행정과 커뮤니테이션, 군사행정실무론"
행정학,4,1,행정법,"국가정책론, 군복지실무론 "
행정학,4,2,국방예산론,"행정개혁론, 정책평가론, 행정조사방법론"
법학,3,1,민사법특강,"형사법특강Ⅰ, 통치구조론"
법학,3,2,장병인권론,"형사법특강Ⅱ, 행정법입문, 계약법"
법학,4,1,인적자원관리론,"군인사법, 물권법"
법학,4,2,군형법이론과 연습,"전쟁법, 형사소송연습"
기계공학,3,1,기계공학개론,"열역학, CAD/CAE, 공업수학"
기계공학,3,2,차량공학,"재료역학, 로봇공학"
기계공학,4,1,병기공학,"유체력학, 기계공학실험"
기계공학,4,2,방탄공학,"전산구조역학, 기계가공학"
무기시스템,3,1,기초공학통계,"기술관리학, 인간공학시스템, 경제성공학"
무기시스템,3,2,시스템공학개론,"기술정보분석, 인간공학응용"
무기시스템,4,1,시스템공학응용,"데이터마이닝, 시스템최적화"
무기시스템,4,2,시스템분석 / 설계,"데이터분석실습, 생산관리"
건설공학,3,1,응용구조역학,"토목공학개론, 토질 및 기초, 건축계획 및 법규"
건설공학,3,2,환경수리공학,"철근콘크리트 및 강구조, 건설시공학"
건설공학,4,1,측량학 및 실습,"건축설비, 상하수도 공학"
건설공학,4,2,지형정보학,"지반공학, 건설재료 및 실습"
환경공학,3,1,환경공학개론,"환경기초화학, 토양오염학, 대기오염학"
환경공학,3,2,군사화학,"환경독성학, 환경영향평가학"
환경공학,4,1,핵 및 방사선,"환경유기화학, 폐기물처리"
환경공학,4,2,환경수리공학,"상하수도공학, 환경분석화학"
사이버전학,3,1,정보보안 개론,"Python 프로그래밍, C 프로그래밍, JAVA프로그래밍"
사이버전학,3,2,네트워크 보안,"컴퓨터 아키텍쳐, 운영체제"
사이버전학,4,1,시스템 보안,"응용프로그래밍보안, 암호알고리즘"
사이버전학,4,2,모의사이버전 실습,"역공학 실습, 디지털 포렌식"
컴퓨터공학,3,1,컴퓨터아키텍처,"데이터베이스 응용, C프로그래밍, JAVA프로그래밍"
컴퓨터공학,3,2,운영체제,"모바일 프로그래밍, 네트워크 개론"
컴퓨터공학,4,1,자료구조 및 알고리즘,"국방 임베디드 시스템, 인터넷과 네트워크보안"
컴퓨터공학,4,2,소프트웨어공학,"인공지능, 네트워크 프로그래밍"
정보통신공학,3,1,회로망구성,"신호 및 시스템, 전자기학, 공업수학"
정보통신공학,3,2,통신시스템,"디지털회로설계, 반도체공학"
정보통신공학,4,1,전자회로,"마이크로파공학, 네트워크공학"
정보통신공학,4,2,디지털제어공학,"전파 및 안테나공학, 데이터통신"
군사운영분석학,3,1,선형대수학,"확률 및 통계, 공학프로그래밍"
군사운영분석학,3,2,운영분석개론,"수리통계학, 비용분석, 전략적 의사결정"
군사운영분석학,4,1,국방시뮬레이션,"통계방법론, 확률적 모델"
군사운영분석학,4,2,워게임,"자료분석 및 실습, 로지스틱스"
