운영구분,시설명,지역1,지역2,우편번호,주소1,주소2,일반전화,축제행사,운용객실홀수또는수용능력,입실시간,퇴실시간,시설규모,부대시설,취사가능여부,체크인대상,유의사항,시설테마,넓이,객실수,인원수,전망구분,이용요금계산법,현역군무원비수기,현역군무원휴일주말,현역군무원성수기,예비역및기타비수기,예비역및기타휴일주말,예비역및기타성수기,비회원비수기,비회원휴일주말,비회원성수기,적용기준일
국방부,대천콘도1관,충청,충남,355943,충청남도 보령시 갓바위1길,10월 30일,041-932-6305,,가용객실 47실,15:00,11:00,"지하1층,지상5층","충성마트, 노래연습장, 세미나실, 체육시설, PC방, 바비큐장",가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,148.7㎡(45),2,8,바다전망/양한실(쓰리룸형),,108000,122000,143000,119000,135000,157000,146000,196000,229000,
국방부,대천콘도1관,충청,충남,355943,충청남도 보령시 갓바위1길,10월 30일,041-932-6305,,가용객실 47실,15:00,11:00,"지하1층,지상5층","충성마트, 노래연습장, 세미나실, 체육시설, PC방, 바비큐장",가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,49.6㎡(양실),4,2,바다전망/양실(원룸형),,42000,61000,74000,46000,67000,82000,57000,98000,119000,
국방부,대천콘도1관,충청,충남,355943,충청남도 보령시 갓바위1길,10월 30일,041-932-6305,,가용객실 47실,15:00,11:00,"지하1층,지상5층","충성마트, 노래연습장, 세미나실, 체육시설, PC방, 바비큐장",가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,49.6㎡(한실),8,4,바다전망/한실(원룸형),,42000,61000,74000,45000,67000,82000,57000,98000,119000,
국방부,대천콘도1관,충청,충남,355943,충청남도 보령시 갓바위1길,10월 30일,041-932-6305,,가용객실 47실,15:00,11:00,"지하1층,지상5층","충성마트, 노래연습장, 세미나실, 체육시설, PC방, 바비큐장",가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,66.1㎡(20),4,4,바다비전망/양한실(투룸형),,54000,71000,90000,59000,79000,99000,73000,114000,144000,
국방부,대천콘도1관,충청,충남,355943,충청남도 보령시 갓바위1길,10월 30일,041-932-6305,,가용객실 47실,15:00,11:00,"지하1층,지상5층","충성마트, 노래연습장, 세미나실, 체육시설, PC방, 바비큐장",가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,72.7㎡(22),29,6,바다전망/양한실(투룸형),,60000,77000,95000,66000,84000,105000,81000,122000,153000,
국방부,대천콘도2관,충청,충남,355-944,충남 보령시 남포방조제로,139,041-934-0504,,38객실,15:00,11:00,"지하1층, 지상4층","세미나실, 공동취사장,휴게실,회의실, 트램폴린",가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,105.8㎡(32),5,7,바다비전망(베란다없음),,66000,77000,95000,73000,84000,105000,89000,122000,152000,
국방부,대천콘도2관,충청,충남,355-944,충남 보령시 남포방조제로,139,041-934-0504,,38객실,15:00,11:00,"지하1층, 지상4층","세미나실, 공동취사장,휴게실,회의실, 트램폴린",가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,125.6㎡(38),2,7,바다비전망(베란다없음),,78000,87000,106000,86000,95000,117000,105000,139000,170000,
국방부,대천콘도2관,충청,충남,355-944,충남 보령시 남포방조제로,139,041-934-0504,,38객실,15:00,11:00,"지하1층, 지상4층","세미나실, 공동취사장,휴게실,회의실, 트램폴린",가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,42.9㎡(13),7,4,바다비전망(베란다없음),,30000,41000,53000,33000,45000,58000,41000,65000,85000,
국방부,대천콘도2관,충청,충남,355-944,충남 보령시 남포방조제로,139,041-934-0504,,38객실,15:00,11:00,"지하1층, 지상4층","세미나실, 공동취사장,휴게실,회의실, 트램폴린",가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,59.5㎡(18),10,4,바다비전망(베란다없음),,36000,46000,64000,40000,50000,70000,49000,73000,102000,
국방부,대천콘도2관,충청,충남,355-944,충남 보령시 남포방조제로,139,041-934-0504,,38객실,15:00,11:00,"지하1층, 지상4층","세미나실, 공동취사장,휴게실,회의실, 트램폴린",가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,72.7㎡(22),3,5,"바다비전망(베란다없음,양실방1개, 거실겸부엌,화장실겸샤워장)",,48000,61000,74000,53000,67000,82000,65000,98000,119000,
국방부,대천콘도2관,충청,충남,355-944,충남 보령시 남포방조제로,139,041-934-0504,,38객실,15:00,11:00,"지하1층, 지상4층","세미나실, 공동취사장,휴게실,회의실, 트램폴린",가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,85.9㎡(26),11,5,바다비전망(베란다없음),,54000,66000,85000,59000,73000,93000,73000,106000,136000,
국방부,서귀포호텔,제주,제주,697-301,제주특별자치도 서귀포시 상예로,319,064-738-0123,,64객실,15:00,11:00,"지하2층,지상7층","사우나,식당,편의점,PC방,키즈존",불가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.","산,바다,레저스포츠",119.0㎡(36),2,6,"투룸형(양실1,한실1,욕실2)",,110000,120000,130000,121000,132000,143000,182000,198000,215000,
국방부,서귀포호텔,제주,제주,697-301,제주특별자치도 서귀포시 상예로,319,064-738-0123,,64객실,15:00,11:00,"지하2층,지상7층","사우나,식당,편의점,PC방,키즈존",불가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.","산,바다,레저스포츠",196㎡(59평),1,8,"콘도형(양실2, 한실1, 거실, 욕실2)",,180300,196600,213000,198300,216300,234300,297500,324400,351500,
국방부,서귀포호텔,제주,제주,697-301,제주특별자치도 서귀포시 상예로,319,064-738-0123,,64객실,15:00,11:00,"지하2층,지상7층","사우나,식당,편의점,PC방,키즈존",불가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.","산,바다,레저스포츠",39.7㎡(12평 양실),38,2,"원룸형(양실1,욕실1)",,40000,50000,60000,44000,55000,66000,66000,83000,99000,
국방부,서귀포호텔,제주,제주,697-301,제주특별자치도 서귀포시 상예로,319,064-738-0123,,64객실,15:00,11:00,"지하2층,지상7층","사우나,식당,편의점,PC방,키즈존",불가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.","산,바다,레저스포츠",39.7㎡(12평 한실),10,2,"원룸형(한실1,욕실1)",,40000,50000,60000,44000,55000,66000,66000,83000,99000,
국방부,서귀포호텔,제주,제주,697-301,제주특별자치도 서귀포시 상예로,319,064-738-0123,,64객실,15:00,11:00,"지하2층,지상7층","사우나,식당,편의점,PC방,키즈존",불가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.","산,바다,레저스포츠",66.1㎡(20),7,4,원룸형/투룸형,,60000,70000,80000,66000,77000,88000,99000,116000,132000,
국방부,서귀포호텔,제주,제주,697-301,제주특별자치도 서귀포시 상예로,319,064-738-0123,,64객실,15:00,11:00,"지하2층,지상7층","사우나,식당,편의점,PC방,키즈존",불가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.","산,바다,레저스포츠",82.6㎡(25),7,4,"투룸형(양실1,한실1,욕실2)",,75000,90000,105000,83000,99000,112000,124000,149000,173000,
국방부,송정콘도,강원,강원,210140,강원도 강릉시 창해로,141,033-652-7571,,"가용객실41실, 게스트하우스 7실(단체 7실)",15:00,11:00,"본관 지상3층, 별관 지상2층, 부대시설","PC방, 충성마트, 바비큐장",콘도형만가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,105.8(32평형),2,6,(32평형),,92000,116000,143000,101000,127000,157000,124000,185000,228000,
국방부,송정콘도,강원,강원,210140,강원도 강릉시 창해로,141,033-652-7571,,"가용객실41실, 게스트하우스 7실(단체 7실)",15:00,11:00,"본관 지상3층, 별관 지상2층, 부대시설","PC방, 충성마트, 바비큐장",콘도형만가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,125.6(38평형),2,8,(38평형),,105000,132000,165000,115000,145000,182000,141000,211000,264000,
국방부,송정콘도,강원,강원,210140,강원도 강릉시 창해로,141,033-652-7571,,"가용객실41실, 게스트하우스 7실(단체 7실)",15:00,11:00,"본관 지상3층, 별관 지상2층, 부대시설","PC방, 충성마트, 바비큐장",콘도형만가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,42.9(13평형),14,2,원룸(호텔),,46000,61000,74000,50000,67000,82000,62000,97000,119000,
국방부,송정콘도,강원,강원,210140,강원도 강릉시 창해로,141,033-652-7571,,"가용객실41실, 게스트하우스 7실(단체 7실)",15:00,11:00,"본관 지상3층, 별관 지상2층, 부대시설","PC방, 충성마트, 바비큐장",콘도형만가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,42.9(13평형),14,3,원룸(한실),,46000,61000,74000,50000,67000,82000,62000,97000,119000,
국방부,송정콘도,강원,강원,210140,강원도 강릉시 창해로,141,033-652-7571,,"가용객실41실, 게스트하우스 7실(단체 7실)",15:00,11:00,"본관 지상3층, 별관 지상2층, 부대시설","PC방, 충성마트, 바비큐장",콘도형만가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,59.5(18평형원룸),5,4,원룸/별관 콘도형,,59000,77000,91000,65000,85000,100000,80000,123000,146000,
국방부,송정콘도,강원,강원,210140,강원도 강릉시 창해로,141,033-652-7571,,"가용객실41실, 게스트하우스 7실(단체 7실)",15:00,11:00,"본관 지상3층, 별관 지상2층, 부대시설","PC방, 충성마트, 바비큐장",콘도형만가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,85.9(26평형),4,5,(26평형),,79000,99000,125000,86000,109000,138000,106000,158000,201000,
국방부,송정콘도,강원,강원,210140,강원도 강릉시 창해로,141,033-652-7571,,"가용객실41실, 게스트하우스 7실(단체 7실)",15:00,11:00,"본관 지상3층, 별관 지상2층, 부대시설","PC방, 충성마트, 바비큐장",콘도형만가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,"단체(8인,한실)",3,8,"G/H, 8인단체, 한실",,50000,70000,80000,55000,77000,88000,75000,116000,132000,
국방부,송정콘도,강원,강원,210140,강원도 강릉시 창해로,141,033-652-7571,,"가용객실41실, 게스트하우스 7실(단체 7실)",15:00,11:00,"본관 지상3층, 별관 지상2층, 부대시설","PC방, 충성마트, 바비큐장",콘도형만가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,"단체(게스트 6인,한실)",2,6,"G/H, 6인단체, 한실",,40000,55000,60000,44000,61000,66000,65000,100000,120000,
국방부,송정콘도,강원,강원,210140,강원도 강릉시 창해로,141,033-652-7571,,"가용객실41실, 게스트하우스 7실(단체 7실)",15:00,11:00,"본관 지상3층, 별관 지상2층, 부대시설","PC방, 충성마트, 바비큐장",콘도형만가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,단체실(3인),2,3,"G/H, 3인단체, 한실",,24000,33000,45000,27000,36000,51000,33000,45000,75000,
국방부,청간정카라반,강원,강원,219-830,강원도 토성군,토성면 중앙로 644-22,02-2027-4745,,15,,,,,,,"*청간정콘도 앞 해변 수영금지* 브레이크타임(24:00~ 다음날 05:00) 적용, 추가 비품 필요시 24:00이전 요청 바랍니다.",,4인용,13,4,,,60000,90000,110000,60000,90000,110000,120000,180000,220000,
국방부,청간정카라반,강원,강원,219-830,강원도 토성군,토성면 중앙로 644-22,02-2027-4745,,15,,,,,,,"*청간정콘도 앞 해변 수영금지* 브레이크타임(24:00~ 다음날 05:00) 적용, 추가 비품 필요시 24:00이전 요청 바랍니다.",,6인용,2,6,,,70000,100000,120000,70000,100000,120000,140000,200000,240000,
국방부,청간정콘도,강원,강원,219832,강원도 고성군 토성면 중앙로,642-22,033-631-9331,,가용객실 38실,15:00,11:00,"지하1층,지상6층","노래방, 식당, 커피숍, 충성마트, 바비큐장",가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.","산,바다",125.6㎡(38),5,8,"측면바다(한실1,양실1,욕실2)",,101000,114000,131000,111000,125000,143000,136000,182000,209000,
