분류,간행물명,출판사,간기
국외 간행물,Academy of Management Journal,Academy of Management,BM(6)
국외 간행물,Academy of Management Review,Academy of Management,QR(4)
국외 간행물,Administration & Society,Sage Publications,IR(10)
국외 간행물,Air & Space Power Journal ,Air Force Research Institute,QR(4)
국외 간행물,Air International   ,Key Publishing Ltd,MO(12)
국외 간행물,American Economic  Review 등 7종,American Economic Association,MO(12)
국외 간행물,American Journal of International Law,Cambridge University Press,QR(4)
국외 간행물,American Journal of Political Science,John Wiley & Sons,QR(4)
국외 간행물,American Journal of Sociology,University of Chicago Press,BM(6)
국외 간행물,American Review of Public Administration,Sage Publications,IR(8)
국외 간행물,Applied Psychological  Measurement,Sage Publications,IR(8)
국외 간행물,Armed Forces & Society,Sage Publications,QR(4)
국외 간행물,Army Al&T ,U.S. Government Printing Office,QR(4)
국외 간행물,Army Sustainment ,U.S. Government Printing Office,QR(4)
국외 간행물,Asian Survey,University of California Press,BM(6)
국외 간행물,Bulletin of the Atomic Scientist,Taylor & Francis,BM(6)
국외 간행물,China journal,University of Chicago Press,SA(2)
국외 간행물,China Quarterly,Cambridge University Press,QR(4)
국외 간행물,Comparative Politics,Comparative Politics,QR(4)
국외 간행물,Conflict Management and Peace Science,Sage Publications,BM(6)
국외 간행물,Contemporary Security Policy ,Taylor & Francis,QR(4)
국외 간행물,Cooperation And Conflict ,Sage Publications,QR(4)
국외 간행물,Current History,Current History,IR(9)
국외 간행물,Defence and Peace Economics ,Taylor & Francis,IR(8)
국외 간행물,Defence and Security Analysis,Taylor & Francis,QR(4)
국외 간행물,Defense News,Difense News Media,IR(27)
국외 간행물,Foreign Affairs,Foreign Affairs,BM(6)
국외 간행물,Foreign Policy Analysis,Oxford University Press,QR(4)
국외 간행물,Global Social Policy,Sage Publications,IR(3)
국외 간행물,Human Resource Management Journal ,John Wiley & Sons,QR(4)
국외 간행물,International Financial Statistics  ,International Monetary Fund,MO(12)
국외 간행물,International Organization,Cambridge University Press,QR(4)
국외 간행물,International Security,MIT Press,QR(4)
국외 간행물,"JADI (兵器と技術, 日) 【4月~3月】",일본방위장비공업회,MO(12)
국외 간행물,Journal of Conflict Resolution(JCR),Sage Publications,IR(10)
국외 간행물,Journal of Contemporary China ,Cambridge University Press,BM(6)
국외 간행물,Journal of Labor Economics,UNIVERSITY OF CHICAGO PRESS,QR(4)
국외 간행물,Journal of Management in Engineering,AMER SOCIETY CIVIL ENGINEERS,BM(6)
국외 간행물,Journal of Organizational Behavior,John Wiley & Sons,IR(9)
국외 간행물,Journal of Peace Research ,Sage Publications,BM(6)
국외 간행물,Journal of political economy ,University of Chicago Press,MO(12)
국외 간행물,Journal of Strategic Studies ,Taylor & Francis,IR(7)
국외 간행물,Journal of the Operational Research Society,Taylor & Francis ,MO(12)
국외 간행물,Journal of Theoretical Politics ,SAGE PUBLICATIONS LTD,QR(4)
국외 간행물,Management Science,INFORMS,MO(12)
국외 간행물,Military Psychology , Taylor & Francis,BM(6)
국외 간행물,Military Simulation and Training (MS&T),Halldale Publishing & Media Ltd,BM(6)
국외 간행물,Naval Research Logistics,John Wiley & Sons,IR(8)
국외 간행물,OECD Economic Outlook ,Turpin Distribution c/o OECD,SA(2)
국외 간행물,Pacific Review ,Taylor & Francis ,BM(6)
국외 간행물,Public Performance & Management Review,Taylor & Francis ,BM(6)
국외 간행물,Public Personnel Management,Sage Publications,QR(4)
국외 간행물,Review of Economics & Statistics,MIT Press,IR(5)
국외 간행물,Review of Environmental Economics and Policy,Oxford University Press,SA(2)
국외 간행물,Review of International Studies,Cambridge University Press,IR(5)
국외 간행물,Security Studies ,Taylor & Francis,IR(5)
국외 간행물,Strategic Management Journal,John Wiley & Sons,OR(13)
국외 간행물,Technometrics,Taylor & Francis,QR(4)
국외 간행물,Washington Quarterly ,Taylor & Francis,QR(4)
국외 간행물,World Politics,Cambridge University Press,QR(4)
국외 간행물,"국제문제연구 (國際問題硏究,  中)",중국 외교부,BM(6)
국외 간행물,국제안전보장,국제안정보장학회,QR(4)
국외 간행물,"국제정치(國際政治,  日)",일본국제정치학회,QR(4)
국외 간행물,"군사연구(軍事硏究 , 日)",일본 밀리터리리뷰사 ,MO(12)
국외 간행물,"외교(外交, 日) ",일본 외무성,BM(6)
국내 간행물,CA,디자인매거진,비정기
국내 간행물,Chief Executive,한국능률협회미디어,월간
국내 간행물,Graphic,PROPAGANDA,비정기
국내 간행물,Newton,아이뉴턴,월간
국내 간행물,PC 사랑,컴퓨터생활,월간
국내 간행물,Time,TIME,주간
국내 간행물,국가안보전략,한국국가전략연구원,월간
국내 간행물,국방과 기술,한국방위산업진흥회,월간
국내 간행물,군사논단,한국군사학회,계간
국내 간행물,군사세계,21세기군사연구소,월간
국내 간행물,군사저널,군사저널,월간
국내 간행물,네트워크 타임즈,화산미디어,월간
국내 간행물,디펜스타임즈 코리아 ,디펜스타임즈,월간
국내 간행물,밀리터리 리뷰,군사연구,월간
국내 간행물,산,조선뉴스프레스,월간
국내 간행물,시사IN,참언론,주간
국내 간행물,시큐리티 월드 ,인포터,월간
국내 간행물,신동아,동아일보사,월간
국내 간행물,월간디자인,디자인하우스,월간
국내 간행물,월간조선,조선뉴스프레스,월간
국내 간행물,월간조세,조세통람사,월간
국내 간행물,월간중앙 ,중앙일보플러스,월간
국내 간행물,월간항공,와스코,월간
국내 간행물,인사관리,한국인사관리협회,월간
국내 간행물,종합물가정보 / 종합적산정보 (온라인),한국물가정보,월간
국내 간행물,하버드비즈니스리뷰,동아일보사,월간 
국내 간행물,한겨레 21,한겨레신문사,주간
국내 간행물,회계와 세무 ,대한세무협회,월간
